11UMib	TIC-230061010	25
14Andb	TIC-333225860	3
14Herb	TIC-219483057	4
16CygBb	TIC-27533327	4
24Boob	TIC-441712711	6
24Sexb	TIC-1713457	1
24Sexc	TIC-1713457	1
2MASSJ01033563-5515561ABb	TIC-206502540	6
2MASSJ01225093-2439505b	TIC-11614485	4
2MASSJ02192210-3925225b	TIC-77111651	4
2MASSJ12073346-3932539b	TIC-102076870	2
2MASSJ19383260+4603591b	TIC-271164763	4
2MASSJ22362452+4751425b	TIC-200532605	1
30AriBb	TIC-22874788	1
4UMab	TIC-356478817	2
42Drab	TIC-233721425	42
51Erib	TIC-298810162	2
55Cncb	TIC-332064670	1
55Cncc	TIC-332064670	1
55Cncd	TIC-332064670	1
55Cnce	TIC-332064670	1
55Cncf	TIC-332064670	1
6Lynb	TIC-444865362	2
61Virb	TIC-422478973	1
61Virc	TIC-422478973	1
61Vird	TIC-422478973	1
7CMab	TIC-48237215	4
7CMac	TIC-48237215	4
70Virb	TIC-95473936	1
75Cetb	TIC-251095345	2
8UMib	TIC-257005016	18
ABPicb	TIC-260351540	84
AUMicb	TIC-441420236	2
BD+152375b	TIC-82604982	1
BD+20274b	TIC-60923874	1
BD+48738b	TIC-302069358	2
BD+48740b	TIC-302070274	2
BD+49828b	TIC-116376059	2
BD-061339b	TIC-66914642	3
BD-061339c	TIC-66914642	3
BD-082823b	TIC-33355302	1
BD-082823c	TIC-33355302	1
BD-103166b	TIC-148563075	1
BD-132130b	TIC-288474555	4
CHXR73b	TIC-454291479	6
CTChab	TIC-454259409	6
CoRoT-20b	TIC-234825296	2
CoRoT-20c	TIC-234825296	2
CoRoT-24b	TIC-36105482	2
CoRoT-24c	TIC-36105482	2
CoRoT-7b	TIC-280304863	2
CoRoT-7c	TIC-280304863	2
DECVnb	TIC-446175401	8
DENIS-PJ082303.1-491201b	TIC-388682292	6
DMPP-1b	TIC-66560666	4
DMPP-1c	TIC-66560666	4
DMPP-1d	TIC-66560666	4
DMPP-1e	TIC-66560666	4
DMPP-3Ab		84
DPLeob	TIC-903484062	1
DSTucAb	TIC-410214986	9
EPIC201170410.02	TIC-38116202	1
EPIC246851721b	TIC-411839167	1
GJ1061b	TIC-79611981	12
GJ1061c	TIC-79611981	12
GJ1061d	TIC-79611981	12
GJ1132b	TIC-101955023	4
GJ1132c	TIC-101955023	4
GJ1148b	TIC-115869504	2
GJ1148c	TIC-115869504	2
GJ1151b	TIC-11893637	2
GJ1265b	TIC-471012766	1
GJ143b	TIC-279741379	26
GJ15Ab	TIC-440109725	2
GJ15Ac	TIC-440109725	2
GJ160.2b	TIC-178351350	4
GJ163b	TIC-219221189	15
GJ163c	TIC-219221189	15
GJ163d	TIC-219221189	15
GJ179b	TIC-450102450	2
GJ180b	TIC-246902275	4
GJ180c	TIC-246902275	4
GJ180d	TIC-246902275	4
GJ2056b	TIC-65406275	6
GJ229Ac	TIC-124279525	4
GJ229b	TIC-124279525	4
GJ251b	TIC-68581262	1
GJ27.1b	TIC-80417903	4
GJ273b	TIC-318686860	1
GJ273c	TIC-318686860	1
GJ3021b	TIC-290543478	9
GJ3082b	TIC-206548902	6
GJ3138b	TIC-632528291	2
GJ3138c	TIC-632528291	2
GJ3138d	TIC-632528291	2
GJ317b	TIC-118608254	4
GJ317c	TIC-118608254	4
GJ328b	TIC-265373654	2
GJ3293b	TIC-178872239	6
GJ3293c	TIC-178872239	6
GJ3293d	TIC-178872239	6
GJ3293e	TIC-178872239	6
GJ3323b	TIC-43605290	2
GJ3323c	TIC-43605290	2
GJ3341b	TIC-77897915	9
GJ338Bb	TIC-251078597	2
GJ3473b	TIC-452866790	2
GJ3473c	TIC-452866790	2
GJ3512b	TIC-445064836	2
GJ357b	TIC-413248763	2
GJ357c	TIC-413248763	2
GJ357d	TIC-413248763	2
GJ3634b	TIC-49064384	2
GJ3779b	TIC-459826435	2
GJ3942b	TIC-162494287	10
GJ411b	TIC-166646191	1
GJ414Ab	TIC-9001920	1
GJ414Ac	TIC-9001920	1
GJ422b	TIC-450545735	3
GJ4276b	TIC-428238233	9
GJ433b	TIC-57654763	2
GJ433c	TIC-57654763	2
GJ433d	TIC-57654763	2
GJ436b	TIC-138819293	1
GJ480b	TIC-399119319	1
GJ486b	TIC-390651552	1
GJ504b	TIC-397587084	1
GJ625b	TIC-207492082	10
GJ649b	TIC-236743275	1
GJ667Cb	TIC-154385809	1
GJ667Cc	TIC-154385809	1
GJ667Ce	TIC-154385809	1
GJ667Cf	TIC-154385809	1
GJ667Cg	TIC-154385809	1
GJ674b	TIC-218263393	1
GJ676Ab	TIC-369021303	1
GJ676Ac	TIC-369021303	1
GJ676Ad	TIC-369021303	1
GJ676Ae	TIC-369021303	1
GJ682b	TIC-16909043	1
GJ682c	TIC-16909043	1
GJ685b	TIC-219780306	44
GJ687b	TIC-233193964	38
GJ687c	TIC-233193964	38
GJ832b	TIC-139754153	6
GJ832c	TIC-139754153	6
GJ86b	TIC-220017951	12
GJ876b	TIC-188580272	2
GJ876c	TIC-188580272	2
GJ876d	TIC-188580272	2
GJ876e	TIC-188580272	2
GJ887b		2
GJ887c		2
GJ96b	TIC-409527090	2
GQLupb	TIC-442623945	1
GUPscb	TIC-408263079	1
Gl378b	TIC-252470070	2
Gl49b	TIC-256419669	6
Gl686b	TIC-230241767	1
HAT-P-1b	TIC-346338552	1
HAT-P-11b	TIC-28230919	4
HAT-P-11c	TIC-28230919	4
HAT-P-13b	TIC-20096620	1
HAT-P-13c	TIC-20096620	1
HAT-P-14b	TIC-101721385	4
HAT-P-16b	TIC-191284318	2
HAT-P-17b	TIC-266593143	1
HAT-P-17c	TIC-266593143	1
HAT-P-22b	TIC-252479260	2
HAT-P-24b	TIC-440777904	2
HAT-P-29b	TIC-250707118	2
HAT-P-3b	TIC-311035838	9
HAT-P-30b	TIC-455135327	2
HAT-P-32b	TIC-292152376	2
HAT-P-33b	TIC-239154970	1
HAT-P-35b	TIC-455096220	2
HAT-P-4b	TIC-138294130	1
HAT-P-44b	TIC-168699373	10
HAT-P-44c	TIC-168699373	10
HAT-P-67b	TIC-198588220	4
HAT-P-7b	TIC-424865156	4
HATS-1b	TIC-219698950	1
HATS-30b	TIC-281459670	12
HATS-37Ab	TIC-6036597	1
HATS-48Ab	TIC-201642601	4
HATS-59b	TIC-437261733	1
HATS-59c	TIC-437261733	1
HD100546b	TIC-280773136	3
HD100655b	TIC-156942082	1
HD100777b	TIC-49427341	1
HD10180c	TIC-231836962	12
HD10180d	TIC-231836962	12
HD10180e	TIC-231836962	12
HD10180f	TIC-231836962	12
HD10180g	TIC-231836962	12
HD10180h	TIC-231836962	12
HD101930b	TIC-267399515	4
HD102117b	TIC-267519701	4
HD102272b	TIC-82605074	1
HD102365b	TIC-454082369	2
HD102956b	TIC-137810576	12
HD103197b	TIC-400806831	2
HD103774b	TIC-180205814	1
HD103949b	TIC-428657118	1
HD104067b	TIC-428673146	1
HD10442b	TIC-380908091	1
HD104985b	TIC-160224839	10
HD106270b	TIC-176910071	1
HD10647b	TIC-229137615	9
HD106906b	TIC-390472975	4
HD10697b	TIC-456905162	1
HD108147b	TIC-450491293	2
HD108236b	TIC-260647166	4
HD108236c	TIC-260647166	4
HD108236d	TIC-260647166	4
HD108236e	TIC-260647166	4
HD108236f	TIC-260647166	4
HD108341b	TIC-286896213	6
HD109246b	TIC-154549250	14
HD109271b	TIC-429301734	1
HD109271c	TIC-429301734	1
HD109749b	TIC-144289338	2
HD110082b	TIC-383390264	9
HD110113b	TIC-73228647	2
HD110113c	TIC-73228647	2
HD111232b	TIC-329649885	3
HD111591b	TIC-954124944	1
HD112640b	TIC-459217467	14
HD113337b	TIC-142350121	14
HD113538b	TIC-422214062	2
HD113538c	TIC-422214062	2
HD113996b	TIC-328997091	2
HD114386b	TIC-124306858	1
HD114613b	TIC-30293512	1
HD114729b	TIC-124401411	1
HD114762b	TIC-138172859	1
HD11506b	TIC-266680498	2
HD11506c	TIC-266680498	2
HD116029b	TIC-305837711	2
HD116029c	TIC-305837711	2
HD117207b	TIC-405501056	1
HD11755b	TIC-137121812	10
HD117618b	TIC-243194645	2
HD118203b	TIC-286923464	11
HD11964b	TIC-24978373	2
HD11964c	TIC-24978373	2
HD11977b	TIC-232074535	12
HD120084b	TIC-284181945	16
HD121504b	TIC-208844024	2
HD12484b	TIC-419940916	1
HD125390b	TIC-27354139	6
HD125595b	TIC-180030300	1
HD12648b	TIC-397288169	11
HD126525b	TIC-333459486	2
HD12661b	TIC-118268680	1
HD12661c	TIC-118268680	1
HD128356b	TIC-1056530200	1
HD129445b	TIC-258186667	2
HD131664b	TIC-402802683	2
HD13167b	TIC-72638232	4
HD13189b	TIC-63564248	1
HD132406b	TIC-309808219	10
HD132563b	TIC-284680749	8
HD133131Ab	TIC-440955228	1
HD133131Ac	TIC-440955228	1
HD133131Bb	TIC-440955225	1
HD134987b	TIC-61397572	1
HD134987c	TIC-61397572	1
HD136352b	TIC-136916387	1
HD136352c	TIC-136916387	1
HD136352d	TIC-136916387	1
HD136418b	TIC-1101862696	4
HD137388b	TIC-407090552	6
HD13808b	TIC-220022156	12
HD13808c	TIC-220022156	12
HD13908b	TIC-12906712	6
HD13908c	TIC-12906712	6
HD13931b	TIC-292851928	1
HD139357b	TIC-224312054	12
HD141399b	TIC-156067565	5
HD141399c	TIC-156067565	5
